title,"name_in_the_communication_poem(字, 別號, 姓+字, or 姓+名)",notes(other name patterns),zi 字,hao 別號,surname_zi 姓+字,all_surnames
次韻許遵少卿見寄,少卿,,少卿,,,許
次韻謝俞山長見贈,x,,,,,謝;山;俞
次韻謝史提幹見知,x,,,,,謝
次韻謝吴國器見贈,國器,,國器,,,謝
次韻謝天寧老見貽,x,,,,,謝;寧
次韻謝曹之才見贈,曹之才,,之才,,,謝;曹
次韻謝資州侯巡撫,x,,,,,侯;謝
次韻酬游師道見寄,游師道,,師道,,,游
次韻酬潘茂洪見寄,潘茂洪,,茂洪,,,洪;潘
次韻酬王之孟見贈,王之孟,,之孟,,王之孟,王;孟
次韻酬鄭唐老見寄,鄭唐老,,唐老,,鄭唐老,鄭;唐
次韻酬陳判官見貽,x,,,,,陳
次韻陳海州乘槎亭,x,,,,,陳
次韻陳簿席上見和,x,,,,,陳;席;和
次韻顏長道送傅倅,顏長道,,長道,,顏長道,傅;顏
歐陽太師挽詞三首,x,,,,,歐陽
歐陽詢陰符經帖贊,x,,,,,陰;歐陽;符
正仲見贈依韻和答,正仲,,正仲,,,仲;和
正初答鍾郎中見招,x,,,,,鍾;初
歸途感河南父老語,x,,,,,南
水心先生惠顧瓜廬,瓜廬;水心,,水心,瓜廬;水心,,惠;顧
水心先生挽章二首,水心,,水心,水心,,章
永嘉王孟同適安堂,適安,,,適安,,王;安;孟
永嘉真覺大師真贊,x,,,,,
沈侯見和再次前韻,x,,,,,侯;和;沈
温上人自廬山見過,x,,,,,山
湖上送志道歸金華,志道,,志道,,,金
湯七秀才見和再和,x,,,,,和;湯
漳州別王仲言祕書,王仲言,,仲言,,王仲言,王;仲;別
無心居士劉君挽詞,x,,,,,劉
爲龍泉令趙舜徒題,舜徒,,舜徒,,,趙;龍
玉晨鑒義芮公見訪,x,,,,,公;芮
王子張數以詩見過,子張,,子張,,,王;張
王礪寺丞河南知錄,x,,,,,王;南
瑩中自餘杭送蘭笋,瑩中,,瑩中,,,杭;蘭
用前韻答齡叟見寄,x,,,,,
用前韻贈歐陽公制,x,,,,,公;歐陽
用韵答游司直見寄,x,,,,,游
留山中諸君子見訪,子見,,子見,,,山
留題南劍州延平閣,延平,,延平,,,平;南
留題歸安尉凝碧堂,x,,,,,安
病中謝馮彭年見訪,馮彭年,,彭年,,,彭;謝;馮
病告中答王錡見招,x,,,,,王
登嚴州北高峰用韻,高峰,,,高峰,,高;嚴
登黄樓有懷蘇眉山,x,,,,,懷;山;蘇;黃
白珽寄詩次韻見意,x,,,,,白
盡心堂爲張丞相題,x,,,,,張;相
省中和何子溫見寄,何子溫,,子溫,,何子溫,溫;何;和
知廣安軍勾侯挽詩,x,,,,,侯;安;廣;勾
石霜見東吳誠上人,x,,,,,東;吳;石
祈澤寺見許堅題詩,x,,,,,許
禪人發心丐席求頌,x,,,,,席
秀公見喜飯僧二首,x,,,,,公
秋懷酬仇仁近見寄,x,,,,,懷;仇;秋
移合浦郭功甫見寄,郭功甫,,功甫,,,郭;浦
空印見和用韻答之,空印,,空印,,,空;和;印
立春日粧成宜春花,x,,,,,宜;成
端叔見和次韻答之,端叔,,端叔,,,和
第十九僧問長沙頌,x,,,,,沙
答判班孫待制見寄,x,,,,,孫;班
答劉正之見招四絕,劉正之,,正之,,劉正之,劉
答君章譽兩兒見寄,君章,,君章,,,章
答屯田齊員外見贈,x,,,,,田;齊
答崔象之見謝之作,崔象之,,象之,,崔象之,崔;謝
答張念七得科見寄,x,,,,,張
答曾敷文有書見寄,曾敷文,,敷文,,曾敷文,曾
答朱彭州惠茶長句,x,,,,,惠;彭;朱
答朱成伯見贈四首,朱成伯,,伯見,,,朱;成
答朱翔遠見別之作,x,,,,,朱;別
答梅聖俞大雨見寄,梅聖俞,,聖俞,,梅聖俞,俞;梅
答梅聖俞寺丞見寄,梅聖俞,,聖俞,,梅聖俞,俞;梅
答樞密吳給事見寄,x,,,,,吳
答永新宗令寄石耳,x,,,,,宗;石
答王及之賢良見寄,王及之,,及之,,王及之,王
答王龍圖詠山見寄,x,,,,,王;山;龍
答范景山晝詩見意,范景山,,景山,,,山;景;范
答蘇子美離京見寄,蘇子美,,子美,,蘇子美,蘇
答賀中道燈夕見詒,賀中道,,中道,,,賀
答趙德麟見招之作,趙德麟,,德麟,,趙德麟,趙
答趙賓與同年見寄,x,,,,,趙
答鄭秘丞見寄長韵,x,,,,,鄭
答鄭虞任檢法見贈,鄭虞任,,虞任,,鄭虞任,鄭;任;虞
答馬子山節推見寄,馬子山,,子山,,馬子山,馬;山
答馬懷秀兄弟見訪,x,,,,,馬;懷
答髙進賢南歸見别,x,,,,,南
答龍門潘秀才見寄,x,,,,,潘;龍
米元章賞心詩帖贊,米元章,,,,米元章,章;元;米
約劉彥純會建安寺,劉彥純,,彥純,,劉彥純,安;劉
紅泉明日還福清作,x,,,,,紅
老母適至時已見黜,x,,,,,時
聖俞約晚見過不至,聖俞,,聖俞,,,俞
聞師文過錢塘二首,師文,,師文,,,聞;錢
聞欒駕部度嶺見寄,x,,,,,聞;欒
聞歐陽永叔謫夷陵,歐陽永叔,,永叔,,歐陽永叔,聞;歐陽
聞潮陽吳子野出家,吳子野,,子野,,吳子野,家;吳;聞
聞鄞兵入仙居二首,仙居,,,仙居,,聞
胡帥見和用韻再寄,x,,,,,胡;和
臨川節中寄季和弟,季和,,季和,,,和;季
臨川送周月船入京,x,,,,,周
臨川逢鄭遐之雲夢,x,,,,,鄭;雲
至寧海縣有懷曾守,x,,,,,懷;寧;曾
至德清懷送別諸公,德清,,德清,,,公;懷;別
舟行早起處州溪上,x,,,,,
董宰見和用韻留別,x,,,,,別;和;宰;董
蒙若拙見和復次韻,若拙,,若拙,,,蒙;和
薄暮一二鄰友見過,x,,,,,薄
蘭溪舟中寄蘇粹中,粹中,,粹中,,,蘇;蘭
蘭溪訪吳聖與不遇,吳聖與,,聖與,,吳聖與,吳;蘭
血書心經爲圓相贊,x,,,,,相
西河 和王潜斋韵,西河,,,西河,,王;和
見周子充舍人敘懷,周子充,,子充,,周子充,懷;周;充
見澹庵胡先生舍人,澹庵,,,澹庵,,胡
見王兼叔上舍壽母,x,,,,,王;壽
見王宣子侍郎二首,王宣子,,宣子,,王宣子,王
見陳制帥子華二首,子華,,子華,,,陳
訓蒙絕句 心有鄰,x,,,,,蒙
訓蒙絕句 求放心,x,,,,,蒙
訪漳州趙用父使君,趙用父,,用父,,趙用父,趙
試士畢同長道東歸,長道,,長道,,,東;畢
試廬陵賀發竹絲筆,x,,,,,賀
詩送鰭叟建安理曹,x,,,,,安;曹
謁客不值夜夢見之,x,,,,,
謁水心院講僧繼忠,水心,,水心,水心,,
謁金華寺六祖法堂,x,,,,,金;祖
謁館閣校勘歐陽公,x,,,,,公;歐陽
謝人見和前篇二首,x,,,,,謝;和
謝人送常州草蟲扇,x,,,,,謝;常
謝傅欽之學士見訪,傅欽之,,欽之,,傅欽之,傅;謝
謝同年李提舉見訪,x,,,,,謝;李
謝孫狀元寒食見贈,x,,,,,謝;元;孫
謝張慵庵文煥見訪,x,,,,,謝;張
謝文思徐敬伯見訪,伯見,,伯見,,,謝;徐
謝文瑩師攜琴見訪,x,,,,,謝
謝李商老伯仲見過,李商,,商老,,李商,商;謝;仲;李
謝梁亷濟運使見訪,x,,,,,謝;梁
謝楊都官見惠錦鷄,x,,,,,惠;楊;謝
謝永福陳夢得見訪,陳夢得,,夢得,,,陳;謝
謝王尉見贈龍溪集,龍溪,,,龍溪,,王;謝;龍
謝祖太博見訪西園,西園,,,西園,,祖;謝
謝米雍丘元章見過,x,,,,,丘;謝;雍;章;元;米
謝翟元卿詩卷見投,x,,,,,翟;謝;元
謝蔣穎叔惠澄心紙,蔣穎叔,,叔惠,,蔣穎叔,惠;謝;蔣
謝陳昌國惠酒二首,陳昌國,,昌國,,陳昌國,惠;陳;謝;昌
謝靳石門道籙見訪,石門,,,石門,,謝;靳;石
謝齊屯田見惠詩什,x,,,,,田;惠;謝;齊
謝龍圖李待制見寄,x,,,,,謝;李;龍
貴溪夜泊寄趙昌甫,x,,,,,昌;趙
賀楊綿州除武陵守,x,,,,,賀;楊;武
賦張袁州隠齋三首,x,,,,,袁;張
贈別張西叔之豐城,張西叔,,西叔,,,豐;別;張
贈別歐陽全真三首,歐陽全真,,全真,,歐陽全真,別;歐陽;全
贈壽昌墨客葉實甫,葉實甫,,實甫,,,昌;葉;壽
贈常州感慈邦長老,x,,,,,常
贈新昌王藍田三子,x,,,,,王;昌;田;藍
贈林行簡見徐徑坂,林行簡,,行簡,,,徐;簡;林
贈楓橋化城院老僧,x,,,,,
贈武應辰見徐徑坂,武應辰,,應辰,,,應;武;徐
贈浦城星家周廷輔,周廷輔,,廷輔,,,家;周;浦
贈臨川嚴泰伯秀才,嚴泰伯,,伯秀,,嚴泰伯,嚴
贈華陽道士朱尊師,華陽;朱尊師,,,華陽;尊師,,朱
贈黟縣星學舒碧雲,舒碧雲,,,碧雲,,雲;舒
贛州道上見上墳者,x,,,,,
越州講僧智月見訪,x,,,,,越
趙倅古句見寄和答,寄和,,寄和,,,趙;和;古
趙監簿寄建寧諸詩,x,,,,,趙;寧
輓新昌王明府吉甫,吉甫,,吉甫,,,王;昌;吉
輓歐陽文忠公三首,歐陽文忠,,文忠,,,公;歐陽
輓薛常州艮齋先生,艮齋,,,艮齋,,薛;常
述懷謝陳去非見訪,陳去非,,去非,,陳去非,陳;謝;懷
送七兄赴揚州帥幕,x,,,,,
送主簿兄之德化任,x,,,,,任
送二僧見拙菴老人,拙菴,,,拙菴,,
送仙遊知縣許延評,x,,,,,許
送任壽朋赴襄陽令,任壽朋,,壽朋,,,任;壽
送任虞卿教授江陰,任虞卿,,虞卿,,,虞;任;陰
送伯壽兄之官上虞,伯壽,,伯壽,,,虞;壽
送何生龔生歸曲江,x,,,,,何;龔
送僧得賜經還永嘉,x,,,,,
送僧游西湖歸永嘉,x,,,,,游
送僧過碧雲見北磵,北磵;碧雲,,,北磵;碧雲,,雲
送僧鐵山見趙山臺,鐵山,,,鐵山,,趙;山
送儲令赴韶州樂昌,x,,,,,昌;樂;韶;儲
送兒沆赴昌國學錄,昌國,,昌國,,,昌
送公濟朝議守長樂,公濟,,公濟,,,公;樂
送劉德秀赴官貴池,劉德秀,,德秀,,,池;劉
送劉昭寺丞游河南,x,,,,,游;劉;南
送劉誠夫江陰獄掾,劉誠夫,,誠夫,,,陰;劉
送劉誼先輩尉涇縣,x,,,,,劉
送劉賢甫之餘干尉,劉賢甫,,賢甫,,,干;劉
送劉㢸秘校赴婺源,x,,,,,劉
送及之賢良遊錢塘,及之,,及之,,,錢
送友人赴長沙酒官,x,,,,,沙
送同年吳瑴尉烏程,x,,,,,吳;程;烏
送向如愚赴廬陵丞,向如愚,,,如愚,,向
送吳待制安撫襄陽,x,,,,,吳;安
送呂主簿還任永豐,x,,,,,豐;呂;任
送呂知常赴太和丞,太和;知常,,太和;知常,,,呂;和;常
送呂解元江陰禮席,x,,,,,呂;陰;席;元;解
送周君之餘姚講授,x,,,,,姚;周
送周子餘赴松陽簿,周子餘,,子餘,,周子餘,周;松
送周東甫教授餘干,周東甫,,東甫,,,東;干;周
送周開祖出守鄱陽,周開祖,,開祖,,周開祖,祖;周
送和甫至龍安暮歸,和甫,,和甫,,,安;和;龍
送喻叔奇通判會稽,喻叔奇,,叔奇,,喻叔奇,喻
送嘉仲兄赴永康宰,嘉仲,,嘉仲,,,康;仲;宰
送大夫孫公鎮東陽,x,,,,,東;公;孫
送婿陳景初還錢塘,陳景初,,景初,,,陳;錢;景;初
送孟和卿平陽尋母,孟和卿,,和卿,,,平;和;孟
送孫記堂出宰歸安,x,,,,,安;孫;宰
送宇文侍郎知廬州,x,,,,,宇文
送宇文安行如吳下,安行,,安行,,,宇文;吳;安
送宋子華通判長沙,宋子華,,子華,,宋子華,沙;宋
送宋祕丞赴任鄱陽,x,,,,,任;宋
送宗紀上人歸福州,x,,,,,紀;宗
送官出守平江二首,x,,,,,平
送宜興張教授彥高,彥高,,彥高,,,宜;張;高
送尹仲求臨邛戶掾,尹仲求,,仲求,,,仲
送崑山州教劉表姪,x,,,,,山;劉
送廖舍人江南安撫,x,,,,,安;廖;南
送張光大赴長沙簿,光大,,光大,,,張;沙
送張公度之官南安,張公度,,公度,,張公度,公;安;張;南
送張古心明道山長,張古心; 明道,,明道,古心,,山;張;古
送張子韶謫居南安,張子韶,,子韶,,張子韶,韶;安;張;南
送張寺丞知富順監,x,,,,,張;富
送張尚書出鎮建寧,x,,,,,張;寧
送張景淳知邵武軍,x,,,,,武;邵;景;張
送張牧之赴南昌辟,張牧之,,牧之,,張牧之,昌;牧;張;南
送張監察通判餘杭,x,,,,,杭;張
送張著作器宰蘄水,x,,,,,張;宰
送徐吉水解組造朝,x,,,,,吉;徐;解
送徐靈淵永州司理,徐靈淵,,,靈淵,,徐
送從姪邦直丞長溪,邦直,,邦直,,,從
送思深赴泉州錄參,x,,,,,
送懷古上人遊錢塘,懷古,,懷古,,,懷;錢;古
送懷安李使君屯田,x,,,,,田;安;懷;李
送揚州胡倅赴堂召,x,,,,,胡
送施歷城辯歸常州,x,,,,,常;施
送晁奉議高郵判官,x,,,,,晁;高
送曲江爲上人歸省,x,,,,,
送曲江知縣趙節推,x,,,,,趙
送曾直館歸寧泉州,x,,,,,寧;曾
送朱同之福州戶掾,朱同之,,同之,,,朱
送朱壽昌迎母東歸,x,,,,,東;昌;朱;壽
送李仲益赴襄陽幕,李仲益,,仲益,,,仲;李
送李司戶之官臨邛,x,,,,,李
送李大夫移宰新喻,x,,,,,宰;喻;李
送李尉解任歸廬陵,x,,,,,解;任;李
送李廷評知福清縣,x,,,,,李
送李徽州赴湖北漕,x,,,,,李
送李憲司理還新喻,x,,,,,喻;李
送李殿丞通判處州,x,,,,,李
送李袁州汎舟入浙,x,,,,,袁;李
送李際可婺源學錄,李際可,,際可,,,李
送杜陽安奉親還蜀,x,,,,,安;杜
送杞上人歸於潛山,潛山,,,潛山,,山;於
送柳叔達侍知福州,柳叔達,,叔達,,,柳
送柳嚴州解官趨朝,x,,,,,柳;解;嚴
送梅子明通判餘杭,梅子明,,子明,,梅子明,杭;梅
送楊伯子知南昌縣,楊伯子,,伯子,,楊伯子,楊;昌;南
送楊子充知資陽縣,楊子充,,子充,,,楊;充
送楊渥赴西安主簿,x,,,,,楊;安
送楊秘丞通判揚州,x,,,,,楊
送楊驥秀才歸鄱陽,x,,,,,楊
送樂安教諭周亦山,樂安;亦山,,,樂安;亦山,,安;山;周;樂
送歐陽令之任粵中,x,,,,,任;歐陽
送歐陽叔弼知蔡州,歐陽叔弼,,叔弼,,歐陽叔弼,蔡;歐陽
送歐陽大監游廬山,x,,,,,山;歐陽;游
送歐陽辯監澶州酒,x,,,,,歐陽
送毛寬任清流主簿,x,,,,,毛;任
送江寧彭給事赴闕,,,,,,彭;闕;寧
送江陰簽判晁太祝,,,,,,晁;陰;祝
送沈寺丞知南昌縣,,,,,,昌;沈;南
送沈康學士知常州,,,知常,,,康;沈;常
送清素禪者之金華,,,,,,金
送湫馬上始見終南,,,,,,馬;南;終
送潘叔昌主教清湘,,,叔昌,,潘叔昌,昌;潘
送熊博士赴瑞安令,,,,,,熊;安
送王亢宗赴劍浦丞,,,亢宗,,,王;浦;宗
送王太博知建昌軍,,,,,,王;昌
送王安之無錫州判,,,安之,,王安之,王;安
送王定國通判河南,,,定國,,王定國,王;南
送王宣子赴廬陵守,,,宣子,,王宣子,王
送王常熟左藏二首,,,,,,王;左;常
送王教授之官臨邛,,,授之,,,王
送王殿丞知眉山縣,,,,,,王;山
送王生及第歸潮陽,,,,,,王
送王言秀才歸建昌,,,,,,王;昌
送王長洲禹偁赴闕,,,,,,王;禹;闕
送琴客許揚歸永嘉,,,,,,許
送瑞印上人歸福州,,,,,,印
送白秀才福州省親,,,,,,白
送皇甫秀才下荆州,,,,,,皇甫
送福州監郡陳殿丞,,,,,,陳
送程傅叟赴官臨海,,,,,,傅;程
送符正民罷倅永嘉,,,正民,,,符
送紹興葉帥改當塗,,,,,,葉
送義先上人歸古田,,,,,,田;古
送聞人伯卿赴銅陵,,,,,,聞人;聞
送胡判官赴官永嘉,,,,,,胡
送胡因甫知湘鄉縣,,,因甫,,胡因甫,胡
送胡推官赴無錫丞,,,,,,胡
送致遠赴耒陽酒官,,,致遠,,,
送舒太博通判眉州,,,,,,舒
送良玉上人還崑山,,,良玉,,,山
送若訥上人歸衢州,,,若訥,,,
送葉伯幾赴奉化錄,,,伯幾,,,葉
送葉子春赴官慈溪,,,子春,,,葉
送葛源之太和主簿,,,太和,,,葛;和
送蔡子重知松陽縣,,,子重,,蔡子重,蔡;松
送蔣子立赴河南試,,,子立,,,蔣;南
送薛子舒福州省覲,,,,,,薛;舒
送蘇學士錢塘監郡,,,,,,錢;蘇
送術士周柟歸東陽,,,,,,東;周
送表姪達師歸鄱陽,,,,,,
送裴仲孺爲太和尉,,,太和,,,裴;仲;和
送許寺丞知古田縣,,,,,,田;許;古
送許郎中出知漳州,,,,,,許
送趙主簿之任惠安,,,,,,惠;任;趙;安
送趙寺丞寄陳海州,,,,,,陳;趙
送趙幾道邵武司户,,,幾道,,趙幾道,武;趙;邵
送趙明叔分教潮陽,,,明叔,,趙明叔,趙
送趙汝楫分教建安,,,汝楫,,,趙;安
送趙燮之蜀永康簿,,,,,,趙;康
送趙獻可福州撫幹,,,獻可,,趙獻可,趙
送趙良弼知廣安軍,,,良弼,,,廣;趙;安
送趙㞦秘書還錢塘,,,,,,趙;錢
送辛十七作尉鹽城,,,,,,辛
送遐舉解德清縣章,,,遐舉;德清,,,章;解
送道士楊見素南遊,,,見素,,,楊;南
送邃悟上人之會稽,,,,,,
送鄔文伯歸侍臨川,,,文伯,,,鄔
送鄭丈赴建寧五首,,,,,,鄭;寧
送陳國珍之官鄱陽,,,國珍,,陳國珍,陳
送陳希周赴安福令,,,希周,,,陳;安;周
送陳澤民赴銅陵簿,,,澤民,,陳澤民,陳
送陳監嶽參告宜春,,,,,,宜;陳
送陳郎中棅知嚴州,,,,,,陳;嚴
送靈江住金華講院,,,,,,金
送靜照大師歸餘杭,,,,,,杭
送韓七寺丞知蕭山,,,,,,蕭;山;韓
送韓六玉汝宰錢塘,,,玉汝,,,宰;錢;韓
送韓建寧赴召二首,,,,,,韓;寧
送顧哦松柬祁門尉,,,,,,祁;顧;松
送餘姚知縣張太博,,,,,,姚;張
送馮司理之任彭州,,,,,,彭;馮;任
送馮茂叔分教豐城,,,茂叔,,,豐;馮
送魏縣丞之官餘杭,,,,,,杭;魏
送魏郎中出守潮陽,,,,,,魏
送鮑都官錢塘通判,,,,,,鮑;錢
送黄子聞得縣瑞安,,,子聞,,,安;聞;黃
送黄監稅之官沙縣,,,,,,沙;黃
送黄郡博之官高郵,,,,,,高;黃
送黎德升出守眉州,,,德升,,黎德升,黎
送鼎倅陳安仁虞部,,,安仁,,,虞;陳;安
運判再以前韵見寄,,,,,,
過天姥見敏叔留題,,,敏叔,,,
過慧山見舊題二首,,,,,,山
過水心寺訪芝上人,,,水心,水心,,
過臨川懷劉氏弟兄,,,,,,懷;劉
道中寄福州王祠部,,,,,,王
道祖見和復賦一首,,,道祖,,,祖;和
遷居親戚携酒見過,,,,,,戚
還家父老見迓境上,,,,,,家
酌姨母崇德君壽酒,,,君壽,,,壽
酒邉見燒各賦一體,,,,,,
酬周亨叔主簿見贈,,,亨叔,,,周
酬周元翁推官見贈,,,,,周元翁,翁;元;周
酬季敬父清明見寄,,,敬父,,,季
酬安祕丞見贈長歌,,,,,,安
酬寧國陳中書勸耕,,,,,,陳;寧
酬張三十秀才見贈,,,,,,張
酬張杲卿相公見招,,,杲卿,,張杲卿,公;張;相
酬方塘趙待制見贈,,,,,,趙;方
酬曽無逸架閣見寄,,,無逸,,,
酬李元叔察院見寄,,,,,李元叔,元;李
酬李光化見寄二首,,,,,,李
酬李推官淮上見寄,,,,,,李
酬楊立之進士見贈,,,立之,,,楊
酬楊鴻漸察判見寄,,,鴻漸,,,楊
酬潁昌葉內翰見招,,,,,,昌;葉
酬王微之汴中見贈,,,微之,,王微之,王
酬王衮臣朝奉見贈,,,,,,王
酬秦壽之見贈三首,,,壽之,,,秦;壽
酬終南閻諫議見寄,,,,,,閻;南;終
酬胡侍講先生見寄,,,,,,胡
酬莊器之賢良見贈,,,器之,,,莊
酬葉道卿學士見寄,,,道卿,,葉道卿,葉
酬蔡溫老秀才見寄,,,,,,溫;蔡
酬諸同官見和三首,,,,,,和
酬趙存道都曹見贈,,,存道,,趙存道,趙;曹
酬趙少卿藥園見贈,,,少卿,,,趙
酬邵彥瞻朝奉見寄,,,彥瞻,,,邵
酬陳頤剛見和前韵,,,,,,陳;和
酬馮退翁見示之什,,,退翁,退翁,,翁;馮
酬黄安期推官見寄,,,,,,安;黃
釋臨邛記方物戲作,,,,,,方
重送處州斯遠三首,,,斯遠,,,
錢塘別吳長文司理,,,長文,,吳長文,吳;錢;別
錢塘秋夕旅舍感懷,,,,,,懷;錢;秋
長沙新第呈諸學士,,,,,,沙
長沙王墓在閶門外,,,,,,王;沙
長沙郡丞丁君挽詞,,,,,,沙;丁
长寿乐 南昌生日,,,,,,昌;南
陪周溪園登賞心亭,,,,溪園,,周
雨中次韵黄守見貽,,,,,,黃
雨中見梅泫然而作,,,,,,梅
雪中寄趙湖州容齋,,,,容齋,,容;趙
雪霽次韻以忠見和,,,以忠,,,和
題三山郡圃會稽亭,,,,三山,,山
題仙居偉羌山六絕,,,,仙居,,山
題仙居禪院懷舒閣,,,,仙居,,懷;舒
題分宜李少度燕谷,,,少度,,,燕;宜;李;谷
題分宜謝草廬行卷,,,,,,宜;謝
題南昌縣君臨偃竹,,,,,,昌;南
題友人南北江山圖,,,,,,山;南
題坡仙求心齋三字,,,求心,心齋,,
題婺源胡氏翛然堂,,,,,,胡
題子瞻揚州借山寺,,,子瞻,,,山
題安福劉虞卿敏齋,,,虞卿,敏齋,,虞;安;劉
題安福李令朝華亭,,,,,,安;李
題尤溪縣林平鋪壁,,,,尤溪,,尤;平;林
題建寧府分水嶺鋪,,,,,,寧
題建寧縣洛陽村寺,,,,,,寧
題承天心老萬佛閣,,,,,,
題揚州因大師小池,,,,,,池
題新安汪氏心遠亭,,,心遠,,,汪;安
題會稽用林帥侍韵,,,,,,林
題林同舍初心詩集,,,初心,,,初;林
題歐陽君舉進修堂,,,君舉,,,歐陽
題歐陽晦叔竹癖軒,,,晦叔,,歐陽晦叔,歐陽
題歐陽炳文真止亭,,,炳文,炳文,,歐陽
題永州唐德明竹園,,,德明,,唐德明,唐
題永豐吳尉當山亭,,,,,,豐;吳;山
題江山風月樓三首,,,,,,山
題清江胡民瞻忍堂,,,民瞻,,,胡
題甘叔異曲江磯庵,,,叔異,,,甘
題臨川李子經文藁,,,子經,,李子經,李
題臨川道中玉虚觀,,,中玉,,,
題舊新明縣孝義驛,,,,,,
題萍鄉何叔萬雲山,,,叔萬,,,雲;何;山
題蕭叔原江山圖畫,,,叔原,,,蕭;山
題袁恭父神心精舍,,,恭父,,,袁
題覺心居士轉物軒,,,,,,
題貴溪翠顔亭二首,,,,,,
題鄒震甫江山偉觀,,,震甫,,,鄒;山
題雙流保國觀古柏,,,,雙流,,柏;雙;古
食鹿肉謝正仲見餽,,,正仲,,,謝;仲;鹿
餘姚江上夜看殘雪,,,,,,姚
餘姚董役海堤有作,,,,,,姚;董
餘干黄師求北窗詩,,,,,,干;黃
餘杭訪趙蹈中郊居,,,蹈中,,趙蹈中,杭;趙
高郵贈別杜介供奉,,,,,,別;杜;高
鮮于子駿使君生日,,,子駿,,鮮于子駿,于;鮮于
鮮于諫議挽詞三首,,,,,,于;鮮于
鮮于諫議挽詞二首,,,,,,于;鮮于
鳳州郡樓上書所見,,,,,,鳳
黄大聲見和再用韻,,,,,,和;黃
黄寺丞風雨中見過,,,,,,黃
黄幹見約小飲就宿,,,,,,宿;黃
七峰閣作呈廣心從老,,,,,,廣;從
七言送沈景休知常州,,,景休;知常,,,景;沈;常
三兄既見過喜而賦此,,,,,,
上平江守徐侍郎生日,,,,,,平;徐
上平江徐侍郎十絕句,,,,,,平;徐
上瀘州楊尚書四十韻,,,,,,楊
上王丞相十界心圖頌,,,,,,王;相
上翰林眉山先生蘇公,,,,,,公;山;蘇;林
上虞相行春口號十首,,,,,,虞;相
中秋不見月寄耘老弟,,,耘老,,,秋
五言送袁陟通判撫州,,,,,,袁
五言送許當通判泉州,,,,,,許
五言道中見新月寄內,,,,,,
代人送常州張卿掛冠,,,,,,張;常
代書寄襄陽令于去非,,,去非,,于去非,于
代賦三十韻呈李果州,,,,,,李
以石龜子施覺心長老,,,,石龜,,石;施
伯皋自永豐見過次韵,,,伯皋,,,豐
何子應金華書院寄題,,,子應,,何子應,應;何;金
何得之見和次韵謝之,,,得之,,,何;謝;和
依韵和蔣津雪中見寄,,,,,,蔣;和
依韵和酬王明遠見寄,,,明遠,,王明遠,王;和
依韻和仲源暮冬見寄,,,仲源,,,仲;和
依韻和任司封見寄吟,,,,,,任;和;封
依韻和僧說上人見訪,,,,,,和
依韻和友人秋夕見寄,,,,,,和;秋
依韻和挺之晨起見寄,,,挺之,,,和
依韻和武平別後見寄,,,武平,,,武;和;後;平;別
依韻和玉汝舟中見懷,,,玉汝,,,懷;和
依韻和酬邵不疑見答,,,不疑,,邵不疑,邵;和
依韻和錢深推官見寄,,,,,,錢;和
依韻奉酬晏尚書見寄,,,,,,晏
依韻答梁堅運判見寄,,,,,,梁
依韻酬智謙上人見寄,,,,,,
傅巖叟見和用韻答之,,,巖叟,巖叟,,傅;和
儗過錢塘約諸客同賦,,,,,,錢
元丹歌贈會稽陳處士,,,,,,陳;元
元輿待制以書酒見招,,,,,,元
入都席上答曼叔見送,,,曼叔,,,席
再到錢塘呈會宗伯益,,,伯益;會宗,,,錢;宗
再和王不疑少卿見贈,,,少卿;不疑,,王不疑,王;和
再次韵禮之見貽之什,,,,,,
再次韵蘇公示兩歐陽,,,,,,公;歐陽;蘇
再次韻趙帥見寄三首,,,,,,趙
再用前韻答濟明見和,,,濟明,,,和
再用前韻答端夫見和,,,端夫,,,和
再用前韻贈鹽城四士,,,,,,
分宜逆旅逢同郡客子,,,,,,宜
初注清湘令寄馮深居,,,,深居,,初;馮
到錢塘卻寄姑蘇太守,,,,,,錢;蘇
劉八窗見訪一夕即別,,,,,,劉;別
包山送辛大卿知福州,,,,,,山;辛;包
十三夜秉文携詩見過,,,秉文,,,
南唐門道上見桃二首,,,,,,唐;南
危見心携示別去寄謝,,,見心,,危見心,危;謝;別
又和南園真率會見贈,,,,,,和;南
又和次中答莘老見招,,,次中;莘老,,,和;莘
友卿弟見和復賦二首,,,,,,和
口號送椰心簟劉使君,,,,,,劉
古田縣行覽呈劉無競,,,無競,,劉無競,田;劉;古
台州使君趙寺丞致饋,,,,,,台;趙
同鄰幾持國過杜和州,,,持國;鄰幾,,,和;杜
同長道遊惠僧翠樾堂,,,長道,,,惠
同黄秘校遊連江玉泉,,,,玉泉,,連;黃
吳王造見應命二帖贊,,,,,,王;吳;應
呂山人同荆供奉見過,,,,,,呂;山
呈申屠御史忍齋二首,,,,,,申屠;屠
周亨叔推官見示詩軸,,,亨叔,,,周
和三門竇程寺丞見贈,,,,,,竇;程;和
和元晦擇之有詩見懷,,,擇之,,,懷;元;和
和公齊臨替有感見寄,,,公齊,,,公;和;齊
和劉公舒見示生日詩,,,,,,公;劉;和;舒
和劉原甫平山堂見寄,,,山堂,山堂,,平;山;劉;和
和劉叔懷見寄三絕句,,,,,,懷;劉;和
和劉清叔襄陽草廬韻,,,清叔,,劉清叔,劉;和
